country,region
Algeria,Northern Africa
Angola,Middle Africa
Benin,Western Africa
Botswana,Southern Africa
Burkina Faso,Western Africa
Burundi,Eastern Africa
Cape Verde,Western Africa
Cameroon,Middle Africa
Central African Republic,Middle Africa
Chad,Middle Africa
Comoros,Eastern Africa
Congo,Middle Africa
Côte d'Ivoire,Western Africa
Djibouti,Eastern Africa
DR Congo,Middle Africa
Egypt,Northern Africa
Equatorial Guinea,Middle Africa
Eritrea,Eastern Africa
Eswatini,Southern Africa
Ethiopia,Eastern Africa
Gabon,Middle Africa
Gambia,Western Africa
Ghana,Western Africa
Guinea,Western Africa
Guinea-Bissau,Western Africa
Kenya,Eastern Africa
Lesotho,Southern Africa
Liberia,Western Africa
Libya,Northern Africa
Madagascar,Eastern Africa
Malawi,Eastern Africa
Mali,Western Africa
Mauritania,Western Africa
Mauritius,Eastern Africa
Morocco,Northern Africa
Mozambique,Eastern Africa
Namibia,Southern Africa
Niger,Western Africa
Nigeria,Western Africa
Rwanda,Eastern Africa
Sao Tome & Principe,Middle Africa
Senegal,Western Africa
Seychelles,Eastern Africa
Sierra Leone,Western Africa
Somalia,Eastern Africa
South Africa,Southern Africa
South Sudan,Eastern Africa
Sudan,Northern Africa
Tanzania,Eastern Africa
Togo,Western Africa
Tunisia,Northern Africa
Uganda,Eastern Africa
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
